event,x,y,z,adc,zelem,layer
74,31.8337,9.40361,63.7309,333,1,10
74,36.1103,8.76283,69.4352,293,1,17
74,36.6728,8.83298,70.4234,308,1,18
74,40.6904,8.97369,76.8005,678,1,23
74,41.733,8.9641,78.2741,899,1,24
74,42.7818,8.92304,80.2101,560,1,25
74,43.8184,8.94395,81.6249,720,1,26
74,44.8747,8.86538,83.5102,207,1,27
74,-27.841,14.7393,-79.9219,2897,0,7
74,-28.302,15.0696,-79.8848,2388,0,8
74,-28.7803,15.3806,-79.7936,2027,0,9
74,-29.2264,15.738,-79.7001,2184,0,10
74,-29.6914,16.0732,-79.5239,4084,0,11
74,-30.1215,16.4599,-79.3364,5670,0,12
74,-30.6208,16.7327,-78.7065,9193,0,13
74,-31.0399,17.1394,-79.3617,3961,0,14
74,-31.5006,17.4823,-79.3749,2005,0,15
74,-31.9254,17.8787,-79.3283,2943,0,16
74,-32.3849,18.224,-79.2972,2574,0,17
74,-32.8119,18.6162,-79.1669,4674,0,18
74,-33.2551,18.9911,-79.242,2289,0,19
74,-33.6864,19.3757,-79.1897,2589,0,20
74,-34.0877,19.8164,-78.6924,5030,0,21
74,-34.5613,20.1213,-77.9757,9550,0,22
74,-35.8099,21.2905,-77.8464,11682,0,23
74,-36.5397,22.0552,-78.6,3940,0,24
74,-37.2552,22.8436,-78.4221,2984,0,25
74,-38.0018,23.5808,-78.2942,1842,0,26
74,-38.7134,24.3756,-78.3089,2927,0,27
74,-39.4153,25.1814,-78.1993,3849,0,28
74,-40.0627,26.0497,-78.0953,2863,0,29
74,-40.739,26.8747,-78.0244,2985,0,30
74,-41.4076,27.7113,-78.0839,4501,0,31
74,-42.0342,28.6107,-77.8222,4182,0,32
74,-42.6583,29.5139,-77.5073,5785,0,33
74,-43.2585,30.4429,-77.4793,4638,0,34
74,-43.8856,31.3138,-77.3595,4733,0,35
74,-44.4476,32.2735,-77.2797,3311,0,36
74,-45.0052,33.2392,-77.2435,3622,0,37
74,-45.5616,34.2065,-77.1854,3539,0,38
74,-46.5936,36.0641,-76.8518,3059,0,39
74,-47.137,37.1397,-76.65,4759,0,40
74,-47.6357,38.271,-76.4693,6046,0,41
74,-48.1886,39.3348,-76.3479,7984,0,42
74,-48.6802,40.475,-76.3549,3314,0,43
74,-49.5327,42.8494,-76.0329,4080,0,45
74,-50.2089,45.4061,-75.8735,3659,0,47
74,-50.6249,46.586,-75.8197,5174,0,48
74,-50.9969,47.7838,-75.6515,3990,0,49
74,-51.3193,49.0335,-75.5293,3606,0,50
74,-51.5901,50.337,-75.3546,3685,0,51
74,-52.3209,51.16,-73.5305,46,1,52
74,-27.9402,14.5585,-82.4955,2465,0,7
74,-28.1497,15.3472,-82.5204,527,0,8
74,-28.4621,15.9605,-82.62,736,0,9
74,-28.7679,16.5738,-82.7913,546,0,10
74,-29.0439,17.2182,-81.501,637,0,11
74,-29.3681,17.7692,-82.9226,642,0,12
74,-29.6738,18.3621,-82.9836,717,0,13
74,-30.0301,18.8603,-83.1158,492,0,14
74,-30.401,19.3458,-83.2301,175,0,15
74,-30.803,19.759,-83.2621,678,0,16
74,-31.1652,20.241,-83.5055,307,0,17
74,-31.5767,20.6387,-83.4523,972,0,18
