event,x,y,z,adc,zelem,layer
74,2.95962,0.734169,-9.08048,17,1,0
74,3.34778,-0.0285555,-9.57679,12,1,0
74,2.95936,0.734679,-9.08075,21,1,0
74,3.34778,-0.0285555,-9.57679,12,1,0
74,3.33559,-0.00459923,-10.0622,4,1,0
74,3.01266,0.629942,-6.23667,16,2,0
74,3.01272,0.629842,-6.23693,15,2,0
74,2.82375,1.00116,-5.20505,6,2,0
74,2.82375,1.00116,-5.20505,6,2,0
74,3.05986,0.537211,-1.52643,3,4,0
74,3.00885,0.637428,-0.0580968,4,4,0
74,3.05986,0.537211,-1.52643,3,4,0
74,3.00885,0.637428,-0.0580968,4,4,0
74,2.75548,1.13532,-2.14892,9,4,0
74,2.75548,1.13532,-2.14892,9,4,0
74,3.08115,0.495368,-1.87653,5,4,0
74,3.25588,0.152015,-1.35818,8,4,0
74,3.08115,0.495368,-1.87653,5,4,0
74,3.00093,0.653,3.52562,1,5,0
74,3.00093,0.653,3.52562,1,5,0
74,2.87536,0.899749,4.05084,2,6,0
74,2.93957,0.77358,6.21996,3,6,0
74,2.87536,0.899749,4.05084,2,6,0
74,2.93957,0.77358,6.21996,3,6,0
74,2.97996,0.694205,8.20064,5,7,0
74,3.36119,-0.0549073,9.09948,2,7,0
74,2.9802,0.693726,8.19888,1,7,0
74,3.10496,0.448573,11.3708,3,8,0
74,3.10496,0.448573,11.3708,3,8,0
74,2.75019,1.1457,11.0277,3,8,0
74,2.74979,1.1465,11.0297,1,8,0
74,2.91177,1.34131,-10.1104,7,1,0
74,2.39062,1.68011,-9.61333,4,1,0
74,2.3908,1.67999,-9.61431,6,1,0
74,2.24469,1.77498,-8.38818,3,1,0
74,2.24469,1.77498,-8.38818,3,1,0
74,2.06854,1.8895,-8.81265,12,1,0
74,1.85457,2.0286,-8.32775,9,1,0
74,1.84242,2.0365,-8.27268,4,1,0
74,2.0685,1.88952,-8.81189,11,1,0
74,1.88073,2.01159,-7.76647,4,2,0
74,1.88073,2.01159,-7.76647,4,2,0
74,2.89205,1.35413,-7.26891,12,2,0
74,2.89224,1.35401,-7.27053,9,2,0
74,2.20638,1.79989,-5.41265,10,2,0
74,2.19962,1.80428,-5.40388,6,2,0
74,2.20638,1.79989,-5.41265,10,2,0
74,2.20007,1.80399,-5.40417,5,2,0
74,2.13427,1.84677,-1.18237,1,4,0
74,2.09911,1.86962,-1.94905,5,4,0
74,2.09877,1.86984,-1.94846,4,4,0
74,2.31374,1.73009,2.9177,11,5,0
74,2.30844,1.73354,2.93497,7,5,0
74,2.3123,1.73103,2.91451,1,5,0
